label,pc_agi_ventile,TAX_YR,adjusted25,adjusted_median,adjusted75,age,units
Spendable income,14.0,2004,39.800000000000004,44.6,49.1,59,thousands of dollars
Spendable income,15.0,2004,43.5,48.800000000000004,53.9,59,thousands of dollars
Spendable income,16.0,2004,47.7,53.7,59.6,59,thousands of dollars
Spendable income,17.0,2004,53.4,60.4,67.1,59,thousands of dollars
Spendable income,18.0,2004,60.7,70.10000000000001,79.0,59,thousands of dollars
Spendable income,19.0,2004,74.10000000000001,87.8,103.5,59,thousands of dollars
Spendable income,20.0,2004,109.10000000000001,153.20000000000002,256.7,59,thousands of dollars
Spendable income,1.0,2005,1.57,5.15,9.26,60,thousands of dollars
Spendable income,2.0,2005,7.5200000000000005,10.0,13.3,60,thousands of dollars
Spendable income,3.0,2005,10.8,13.8,17.400000000000002,60,thousands of dollars
Spendable income,4.0,2005,13.700000000000001,17.2,20.900000000000002,60,thousands of dollars
Spendable income,5.0,2005,16.5,20.0,23.900000000000002,60,thousands of dollars
Spendable income,6.0,2005,18.8,22.6,26.6,60,thousands of dollars
Spendable income,7.0,2005,21.1,24.900000000000002,29.0,60,thousands of dollars
Spendable income,8.0,2005,23.3,27.3,32.0,60,thousands of dollars
Spendable income,9.0,2005,25.5,29.900000000000002,34.5,60,thousands of dollars
Spendable income,10.0,2005,27.5,32.3,36.7,60,thousands of dollars
Spendable income,11.0,2005,29.900000000000002,35.0,40.2,60,thousands of dollars
Spendable income,12.0,2005,32.5,37.9,43.1,60,thousands of dollars
Spendable income,13.0,2005,35.0,40.9,46.7,60,thousands of dollars
Spendable income,14.0,2005,38.300000000000004,44.300000000000004,50.2,60,thousands of dollars
Spendable income,15.0,2005,41.6,48.4,55.1,60,thousands of dollars
Spendable income,16.0,2005,45.4,53.0,60.6,60,thousands of dollars
Spendable income,17.0,2005,50.4,59.6,68.5,60,thousands of dollars
Spendable income,18.0,2005,56.7,68.3,79.8,60,thousands of dollars
Spendable income,19.0,2005,68.8,85.7,103.4,60,thousands of dollars
Spendable income,20.0,2005,101.0,146.4,253.3,60,thousands of dollars
Spendable income,1.0,2006,2.13,5.8100000000000005,11.1,61,thousands of dollars
Spendable income,2.0,2006,7.78,10.3,14.200000000000001,61,thousands of dollars
Spendable income,3.0,2006,10.9,14.200000000000001,18.7,61,thousands of dollars
Spendable income,4.0,2006,13.8,17.6,22.0,61,thousands of dollars
Spendable income,5.0,2006,16.4,20.400000000000002,24.900000000000002,61,thousands of dollars
Spendable income,6.0,2006,18.5,22.900000000000002,27.400000000000002,61,thousands of dollars
Spendable income,7.0,2006,20.8,25.2,29.8,61,thousands of dollars
Spendable income,8.0,2006,23.2,27.7,32.9,61,thousands of dollars
Spendable income,9.0,2006,25.0,29.8,35.0,61,thousands of dollars
Spendable income,10.0,2006,27.400000000000002,32.4,38.0,61,thousands of dollars
Spendable income,11.0,2006,29.400000000000002,35.1,41.2,61,thousands of dollars
Spendable income,12.0,2006,31.7,37.9,43.9,61,thousands of dollars
Spendable income,13.0,2006,34.300000000000004,40.7,47.5,61,thousands of dollars
Spendable income,14.0,2006,37.2,44.1,50.800000000000004,61,thousands of dollars
Spendable income,15.0,2006,40.4,48.2,56.1,61,thousands of dollars
Spendable income,16.0,2006,44.800000000000004,53.1,62.300000000000004,61,thousands of dollars
Spendable income,17.0,2006,49.2,59.2,69.8,61,thousands of dollars
Spendable income,18.0,2006,55.0,68.2,81.7,61,thousands of dollars
Spendable income,19.0,2006,66.2,85.7,105.4,61,thousands of dollars
Spendable income,20.0,2006,99.5,147.70000000000002,263.3,61,thousands of dollars
Spendable income,1.0,2007,3.5500000000000003,7.21,12.6,62,thousands of dollars
Spendable income,2.0,2007,8.040000000000001,10.8,15.9,62,thousands of dollars
Spendable income,3.0,2007,11.200000000000001,14.700000000000001,19.8,62,thousands of dollars
Spendable income,4.0,2007,13.8,18.0,23.1,62,thousands of dollars
Spendable income,5.0,2007,16.6,20.900000000000002,26.0,62,thousands of dollars
Spendable income,6.0,2007,18.5,23.3,28.5,62,thousands of dollars
Spendable income,7.0,2007,20.900000000000002,25.7,31.0,62,thousands of dollars
Spendable income,8.0,2007,23.2,28.2,34.0,62,thousands of dollars
Spendable income,9.0,2007,25.0,30.2,36.1,62,thousands of dollars
Spendable income,10.0,2007,27.0,32.7,38.9,62,thousands of dollars
Spendable income,11.0,2007,29.2,35.300000000000004,42.1,62,thousands of dollars
Spendable income,12.0,2007,31.400000000000002,38.300000000000004,45.4,62,thousands of dollars
Spendable income,13.0,2007,33.9,41.0,48.2,62,thousands of dollars
Spendable income,14.0,2007,36.9,44.4,52.2,62,thousands of dollars
Spendable income,15.0,2007,40.0,48.4,57.1,62,thousands of dollars
Spendable income,16.0,2007,43.800000000000004,53.300000000000004,63.4,62,thousands of dollars
Spendable income,17.0,2007,48.5,59.5,71.0,62,thousands of dollars
Spendable income,18.0,2007,54.2,68.3,83.7,62,thousands of dollars
Spendable income,19.0,2007,64.1,85.7,108.3,62,thousands of dollars
Spendable income,20.0,2007,96.60000000000001,148.5,262.0,62,thousands of dollars
Spendable income,1.0,2008,4.12,7.72,13.9,63,thousands of dollars
Spendable income,2.0,2008,8.3,11.200000000000001,16.4,63,thousands of dollars
Spendable income,3.0,2008,11.4,15.1,20.900000000000002,63,thousands of dollars
Spendable income,4.0,2008,13.9,18.3,23.5,63,thousands of dollars
Spendable income,5.0,2008,16.6,21.3,26.8,63,thousands of dollars
Spendable income,6.0,2008,18.400000000000002,23.400000000000002,28.8,63,thousands of dollars
Spendable income,7.0,2008,20.7,25.6,31.0,63,thousands of dollars
Spendable income,8.0,2008,22.7,28.0,33.9,63,thousands of dollars
Spendable income,9.0,2008,24.400000000000002,29.900000000000002,35.800000000000004,63,thousands of dollars
Spendable income,10.0,2008,26.2,32.1,38.300000000000004,63,thousands of dollars
Spendable income,11.0,2008,28.400000000000002,34.7,41.4,63,thousands of dollars
Spendable income,12.0,2008,30.5,37.1,44.300000000000004,63,thousands of dollars
Spendable income,13.0,2008,32.2,39.6,47.1,63,thousands of dollars
Spendable income,14.0,2008,35.300000000000004,42.9,50.9,63,thousands of dollars
Spendable income,15.0,2008,37.6,46.5,55.4,63,thousands of dollars
Spendable income,16.0,2008,41.0,50.7,60.9,63,thousands of dollars
Spendable income,17.0,2008,45.300000000000004,56.5,67.7,63,thousands of dollars
Spendable income,18.0,2008,49.5,63.7,78.10000000000001,63,thousands of dollars
Spendable income,19.0,2008,57.0,77.7,99.3,63,thousands of dollars
Spendable income,20.0,2008,77.9,124.4,204.4,63,thousands of dollars
Spendable income,1.0,2009,4.8,8.57,14.5,64,thousands of dollars
Spendable income,2.0,2009,8.69,11.700000000000001,17.2,64,thousands of dollars
Spendable income,3.0,2009,11.8,15.6,21.3,64,thousands of dollars
Spendable income,4.0,2009,13.8,18.8,24.400000000000002,64,thousands of dollars
Spendable income,5.0,2009,16.7,21.8,27.2,64,thousands of dollars
Spendable income,6.0,2009,18.7,23.900000000000002,29.400000000000002,64,thousands of dollars
Spendable income,7.0,2009,20.7,26.1,31.7,64,thousands of dollars
Spendable income,8.0,2009,22.7,28.3,34.4,64,thousands of dollars
Spendable income,9.0,2009,24.5,30.2,36.5,64,thousands of dollars
Spendable income,10.0,2009,26.400000000000002,32.5,39.0,64,thousands of dollars
Spendable income,11.0,2009,28.1,34.9,41.800000000000004,64,thousands of dollars
Spendable income,12.0,2009,30.0,36.9,44.5,64,thousands of dollars
Spendable income,13.0,2009,31.900000000000002,39.4,47.4,64,thousands of dollars
Spendable income,14.0,2009,34.7,42.7,51.6,64,thousands of dollars
Spendable income,15.0,2009,36.7,46.300000000000004,55.5,64,thousands of dollars
Spendable income,16.0,2009,39.7,50.0,60.4,64,thousands of dollars
Spendable income,17.0,2009,43.6,55.800000000000004,67.8,64,thousands of dollars
Spendable income,18.0,2009,47.5,62.0,76.5,64,thousands of dollars
Spendable income,19.0,2009,52.4,73.60000000000001,96.0,64,thousands of dollars
Spendable income,20.0,2009,66.6,111.0,180.0,64,thousands of dollars
Spendable income,1.0,2010,5.17,9.13,15.6,65,thousands of dollars
Spendable income,2.0,2010,8.66,11.8,17.6,65,thousands of dollars
Spendable income,3.0,2010,11.8,15.9,22.0,65,thousands of dollars
Spendable income,4.0,2010,13.9,19.0,25.0,65,thousands of dollars
Spendable income,5.0,2010,16.6,22.0,28.0,65,thousands of dollars
Spendable income,6.0,2010,18.6,24.1,30.0,65,thousands of dollars
Spendable income,7.0,2010,20.7,26.3,32.2,65,thousands of dollars
Spendable income,8.0,2010,22.7,28.6,34.800000000000004,65,thousands of dollars
Spendable income,9.0,2010,24.400000000000002,30.3,36.9,65,thousands of dollars
Spendable income,10.0,2010,26.0,32.6,39.300000000000004,65,thousands of dollars
Spendable income,11.0,2010,27.8,34.7,41.9,65,thousands of dollars
Spendable income,12.0,2010,30.2,37.0,44.7,65,thousands of dollars
Spendable income,13.0,2010,31.400000000000002,38.9,47.300000000000004,65,thousands of dollars
Spendable income,14.0,2010,34.5,42.7,51.6,65,thousands of dollars
Spendable income,15.0,2010,36.300000000000004,45.800000000000004,55.4,65,thousands of dollars
Spendable income,16.0,2010,39.6,49.9,60.6,65,thousands of dollars
Spendable income,17.0,2010,43.0,55.0,67.5,65,thousands of dollars
Spendable income,18.0,2010,46.300000000000004,61.1,77.10000000000001,65,thousands of dollars
Spendable income,19.0,2010,51.7,72.60000000000001,95.7,65,thousands of dollars
Spendable income,20.0,2010,65.9,111.4,184.1,65,thousands of dollars
Spendable income,1.0,2011,5.38,9.35,16.0,66,thousands of dollars
Spendable income,2.0,2011,8.5,11.700000000000001,18.2,66,thousands of dollars
Spendable income,3.0,2011,11.3,15.6,22.2,66,thousands of dollars
Spendable income,4.0,2011,13.4,19.0,25.5,66,thousands of dollars
Spendable income,5.0,2011,16.0,21.900000000000002,28.7,66,thousands of dollars
Spendable income,6.0,2011,17.8,24.1,30.900000000000002,66,thousands of dollars
Spendable income,7.0,2011,20.1,26.5,33.1,66,thousands of dollars
Spendable income,8.0,2011,22.1,28.6,35.7,66,thousands of dollars
Spendable income,9.0,2011,23.8,30.400000000000002,38.0,66,thousands of dollars
Spendable income,10.0,2011,25.5,32.4,40.1,66,thousands of dollars
Spendable income,11.0,2011,27.2,34.7,43.0,66,thousands of dollars
Spendable income,12.0,2011,29.3,36.800000000000004,45.6,66,thousands of dollars
Spendable income,13.0,2011,31.1,38.9,48.1,66,thousands of dollars
Spendable income,14.0,2011,33.7,42.2,51.9,66,thousands of dollars
Spendable income,15.0,2011,35.6,45.0,55.9,66,thousands of dollars
Spendable income,16.0,2011,38.6,49.4,61.0,66,thousands of dollars
Spendable income,17.0,2011,41.9,54.1,67.5,66,thousands of dollars
Spendable income,18.0,2011,45.9,60.5,78.0,66,thousands of dollars
Spendable income,19.0,2011,50.300000000000004,71.10000000000001,94.9,66,thousands of dollars
Spendable income,20.0,2011,63.7,107.4,179.8,66,thousands of dollars
Spendable income,1.0,2012,5.51,9.46,15.8,67,thousands of dollars
Spendable income,2.0,2012,8.58,11.6,17.900000000000002,67,thousands of dollars
Spendable income,3.0,2012,11.200000000000001,15.5,22.400000000000002,67,thousands of dollars
Spendable income,4.0,2012,13.200000000000001,19.1,25.8,67,thousands of dollars
Spendable income,5.0,2012,15.700000000000001,21.7,28.7,67,thousands of dollars
Spendable income,6.0,2012,17.6,24.0,31.400000000000002,67,thousands of dollars
Spendable income,7.0,2012,20.0,26.400000000000002,33.8,67,thousands of dollars
Spendable income,8.0,2012,21.7,28.5,36.4,67,thousands of dollars
Spendable income,9.0,2012,23.5,30.3,38.6,67,thousands of dollars
Spendable income,10.0,2012,25.0,32.5,40.800000000000004,67,thousands of dollars
Spendable income,11.0,2012,27.1,34.800000000000004,43.6,67,thousands of dollars
Spendable income,12.0,2012,29.1,36.9,46.2,67,thousands of dollars
Spendable income,13.0,2012,30.8,38.9,48.800000000000004,67,thousands of dollars
Spendable income,14.0,2012,33.6,42.300000000000004,52.800000000000004,67,thousands of dollars
Spendable income,15.0,2012,35.5,45.1,56.6,67,thousands of dollars
Spendable income,16.0,2012,38.4,49.2,62.300000000000004,67,thousands of dollars
Spendable income,17.0,2012,41.7,53.800000000000004,68.3,67,thousands of dollars
Spendable income,18.0,2012,46.5,60.800000000000004,78.60000000000001,67,thousands of dollars
Spendable income,19.0,2012,50.2,70.7,96.60000000000001,67,thousands of dollars
Spendable income,20.0,2012,65.9,109.7,191.5,67,thousands of dollars
Spendable income,1.0,2013,5.61,9.47,15.8,68,thousands of dollars
Spendable income,2.0,2013,8.52,11.6,17.8,68,thousands of dollars
Spendable income,3.0,2013,10.9,15.3,22.2,68,thousands of dollars
Spendable income,4.0,2013,13.0,18.7,25.400000000000002,68,thousands of dollars
Spendable income,5.0,2013,15.1,21.3,28.3,68,thousands of dollars
Spendable income,6.0,2013,17.2,23.5,31.2,68,thousands of dollars
Spendable income,7.0,2013,19.1,25.8,33.3,68,thousands of dollars
Spendable income,8.0,2013,21.1,27.900000000000002,35.7,68,thousands of dollars
Spendable income,9.0,2013,22.900000000000002,29.7,37.9,68,thousands of dollars
Spendable income,10.0,2013,24.7,31.900000000000002,40.0,68,thousands of dollars
Spendable income,11.0,2013,26.5,34.1,42.800000000000004,68,thousands of dollars
Spendable income,12.0,2013,28.7,36.1,45.6,68,thousands of dollars
Spendable income,13.0,2013,30.2,38.1,48.0,68,thousands of dollars
Spendable income,14.0,2013,32.8,41.2,51.5,68,thousands of dollars
Spendable income,15.0,2013,35.0,43.7,55.300000000000004,68,thousands of dollars
Spendable income,16.0,2013,37.6,48.0,60.7,68,thousands of dollars
Spendable income,17.0,2013,41.0,52.9,67.4,68,thousands of dollars
Spendable income,18.0,2013,45.4,59.5,77.0,68,thousands of dollars
Spendable income,19.0,2013,49.6,69.60000000000001,94.5,68,thousands of dollars
Spendable income,20.0,2013,63.4,103.4,172.8,68,thousands of dollars
Spendable income,1.0,2014,5.69,9.6,15.9,69,thousands of dollars
Spendable income,2.0,2014,8.41,11.5,17.5,69,thousands of dollars
Spendable income,3.0,2014,10.8,15.200000000000001,22.0,69,thousands of dollars
Spendable income,4.0,2014,12.700000000000001,18.400000000000002,25.3,69,thousands of dollars
Spendable income,5.0,2014,14.9,21.1,28.3,69,thousands of dollars
Spendable income,6.0,2014,16.9,23.2,31.0,69,thousands of dollars
Spendable income,7.0,2014,18.6,25.2,33.1,69,thousands of dollars
Spendable income,8.0,2014,20.8,27.7,35.7,69,thousands of dollars
Spendable income,9.0,2014,22.3,29.400000000000002,37.6,69,thousands of dollars
Spendable income,10.0,2014,24.2,31.5,39.800000000000004,69,thousands of dollars
Spendable income,11.0,2014,26.1,33.7,42.800000000000004,69,thousands of dollars
Spendable income,12.0,2014,28.1,35.800000000000004,45.5,69,thousands of dollars
Spendable income,13.0,2014,30.0,37.800000000000004,47.800000000000004,69,thousands of dollars
Spendable income,14.0,2014,32.5,40.800000000000004,51.800000000000004,69,thousands of dollars
Spendable income,15.0,2014,34.4,43.4,55.2,69,thousands of dollars
Spendable income,16.0,2014,37.1,47.4,60.9,69,thousands of dollars
Spendable income,17.0,2014,40.7,52.5,67.4,69,thousands of dollars
Spendable income,18.0,2014,44.800000000000004,59.6,77.3,69,thousands of dollars
Spendable income,19.0,2014,49.2,69.5,95.5,69,thousands of dollars
Spendable income,20.0,2014,64.7,105.60000000000001,181.3,69,thousands of dollars
Spendable income,1.0,2015,5.8,9.67,16.1,70,thousands of dollars
Spendable income,2.0,2015,8.51,11.6,17.8,70,thousands of dollars
Spendable income,3.0,2015,10.8,15.200000000000001,22.0,70,thousands of dollars
Spendable income,4.0,2015,12.8,18.400000000000002,25.400000000000002,70,thousands of dollars
Spendable income,5.0,2015,14.9,21.2,28.400000000000002,70,thousands of dollars
Spendable income,6.0,2015,16.8,23.3,31.400000000000002,70,thousands of dollars
Spendable income,7.0,2015,18.6,25.400000000000002,33.4,70,thousands of dollars
Spendable income,8.0,2015,20.8,27.8,36.2,70,thousands of dollars
Spendable income,9.0,2015,22.6,29.900000000000002,38.4,70,thousands of dollars
Spendable income,10.0,2015,24.3,31.8,40.5,70,thousands of dollars
Spendable income,11.0,2015,26.400000000000002,34.1,43.300000000000004,70,thousands of dollars
Spendable income,12.0,2015,28.1,36.2,46.0,70,thousands of dollars
Spendable income,13.0,2015,30.400000000000002,38.1,48.0,70,thousands of dollars
Spendable income,14.0,2015,32.8,41.2,52.300000000000004,70,thousands of dollars
Spendable income,15.0,2015,35.0,44.1,56.300000000000004,70,thousands of dollars
Spendable income,16.0,2015,37.9,48.300000000000004,61.9,70,thousands of dollars
Spendable income,17.0,2015,41.5,53.4,68.4,70,thousands of dollars
Spendable income,18.0,2015,45.6,60.6,78.4,70,thousands of dollars
Spendable income,19.0,2015,50.800000000000004,71.2,97.5,70,thousands of dollars
Spendable income,20.0,2015,65.0,107.2,180.3,70,thousands of dollars
Spendable income,1.0,2016,5.73,9.57,16.0,71,thousands of dollars
Spendable income,2.0,2016,8.34,11.4,17.400000000000002,71,thousands of dollars
Spendable income,3.0,2016,10.6,14.9,21.900000000000002,71,thousands of dollars
Spendable income,4.0,2016,12.3,17.900000000000002,24.900000000000002,71,thousands of dollars
Spendable income,5.0,2016,14.6,20.7,28.1,71,thousands of dollars
Spendable income,6.0,2016,16.3,22.900000000000002,31.0,71,thousands of dollars
Spendable income,7.0,2016,18.2,25.1,33.0,71,thousands of dollars
Spendable income,8.0,2016,20.5,27.3,35.7,71,thousands of dollars
Spendable income,9.0,2016,22.0,29.2,37.7,71,thousands of dollars
Spendable income,10.0,2016,23.900000000000002,31.400000000000002,39.800000000000004,71,thousands of dollars
Spendable income,11.0,2016,26.1,33.6,42.800000000000004,71,thousands of dollars
Spendable income,12.0,2016,28.0,35.800000000000004,45.300000000000004,71,thousands of dollars
Spendable income,13.0,2016,30.0,38.0,48.300000000000004,71,thousands of dollars
Spendable income,14.0,2016,32.6,41.2,52.300000000000004,71,thousands of dollars
Spendable income,15.0,2016,34.7,43.800000000000004,55.7,71,thousands of dollars
Spendable income,16.0,2016,37.9,48.300000000000004,62.0,71,thousands of dollars
Spendable income,17.0,2016,41.4,53.2,68.2,71,thousands of dollars
Spendable income,18.0,2016,45.5,60.800000000000004,79.2,71,thousands of dollars
Spendable income,19.0,2016,50.5,70.3,98.10000000000001,71,thousands of dollars
Spendable income,20.0,2016,65.4,105.9,178.20000000000002,71,thousands of dollars
Spendable income,1.0,2017,5.63,9.52,15.9,72,thousands of dollars
Spendable income,2.0,2017,8.13,11.1,17.0,72,thousands of dollars
Spendable income,3.0,2017,10.200000000000001,14.4,21.1,72,thousands of dollars
Spendable income,4.0,2017,11.9,17.400000000000002,24.7,72,thousands of dollars
Spendable income,5.0,2017,14.0,20.2,27.3,72,thousands of dollars
Spendable income,6.0,2017,15.6,22.3,30.400000000000002,72,thousands of dollars
Spendable income,7.0,2017,17.8,24.5,32.4,72,thousands of dollars
Spendable income,8.0,2017,19.8,26.8,35.5,72,thousands of dollars
Spendable income,9.0,2017,21.400000000000002,28.6,37.1,72,thousands of dollars
Spendable income,10.0,2017,23.3,30.8,39.6,72,thousands of dollars
Spendable income,11.0,2017,25.400000000000002,33.1,42.5,72,thousands of dollars
Spendable income,12.0,2017,27.400000000000002,35.300000000000004,44.800000000000004,72,thousands of dollars
Spendable income,13.0,2017,29.6,37.5,47.9,72,thousands of dollars
Spendable income,14.0,2017,32.1,40.7,52.1,72,thousands of dollars
Spendable income,15.0,2017,34.2,43.4,55.6,72,thousands of dollars
Spendable income,16.0,2017,37.300000000000004,47.9,62.0,72,thousands of dollars
Spendable income,17.0,2017,40.9,52.9,68.0,72,thousands of dollars
Spendable income,18.0,2017,44.9,60.1,79.5,72,thousands of dollars
Spendable income,19.0,2017,50.6,70.60000000000001,97.7,72,thousands of dollars
Spendable income,20.0,2017,66.6,108.5,183.6,72,thousands of dollars
Labor+SS+Retire income,1.0,2000,3.0100000000000002,5.7700000000000005,9.35,55,thousands of dollars
Labor+SS+Retire income,2.0,2000,7.78,10.3,13.700000000000001,55,thousands of dollars
Labor+SS+Retire income,3.0,2000,11.700000000000001,14.5,18.400000000000002,55,thousands of dollars
Labor+SS+Retire income,4.0,2000,15.3,18.3,22.400000000000002,55,thousands of dollars
Labor+SS+Retire income,5.0,2000,18.7,21.8,26.1,55,thousands of dollars
Labor+SS+Retire income,6.0,2000,21.900000000000002,25.400000000000002,29.7,55,thousands of dollars
Labor+SS+Retire income,7.0,2000,25.1,28.900000000000002,33.3,55,thousands of dollars
Labor+SS+Retire income,8.0,2000,28.1,31.8,36.6,55,thousands of dollars
Labor+SS+Retire income,9.0,2000,31.3,35.2,39.9,55,thousands of dollars
Labor+SS+Retire income,10.0,2000,34.4,38.4,43.4,55,thousands of dollars
Labor+SS+Retire income,11.0,2000,37.5,42.0,47.300000000000004,55,thousands of dollars
Labor+SS+Retire income,12.0,2000,40.9,45.6,51.2,55,thousands of dollars
Labor+SS+Retire income,13.0,2000,44.5,49.5,55.4,55,thousands of dollars
Labor+SS+Retire income,14.0,2000,48.800000000000004,54.2,60.5,55,thousands of dollars
Labor+SS+Retire income,15.0,2000,53.0,59.2,65.8,55,thousands of dollars
Labor+SS+Retire income,16.0,2000,58.2,65.4,72.9,55,thousands of dollars
Labor+SS+Retire income,17.0,2000,64.8,73.4,81.8,55,thousands of dollars
Labor+SS+Retire income,18.0,2000,73.2,84.60000000000001,95.9,55,thousands of dollars
Labor+SS+Retire income,19.0,2000,85.10000000000001,103.9,122.9,55,thousands of dollars
Labor+SS+Retire income,20.0,2000,113.3,163.5,255.8,55,thousands of dollars
Labor+SS+Retire income,1.0,2001,2.73,5.28,7.6000000000000005,56,thousands of dollars
Labor+SS+Retire income,2.0,2001,7.68,9.77,12.1,56,thousands of dollars
Labor+SS+Retire income,3.0,2001,11.700000000000001,14.200000000000001,16.9,56,thousands of dollars
Labor+SS+Retire income,4.0,2001,15.4,18.1,21.1,56,thousands of dollars
Labor+SS+Retire income,5.0,2001,18.8,21.6,24.5,56,thousands of dollars
Labor+SS+Retire income,6.0,2001,22.1,25.0,28.3,56,thousands of dollars
Labor+SS+Retire income,7.0,2001,25.1,28.3,31.6,56,thousands of dollars
Labor+SS+Retire income,8.0,2001,28.1,31.5,34.9,56,thousands of dollars
Labor+SS+Retire income,9.0,2001,31.2,34.7,38.300000000000004,56,thousands of dollars
Labor+SS+Retire income,10.0,2001,34.4,38.1,41.800000000000004,56,thousands of dollars
Labor+SS+Retire income,11.0,2001,37.4,41.4,45.6,56,thousands of dollars
Labor+SS+Retire income,12.0,2001,40.9,45.2,49.300000000000004,56,thousands of dollars
Labor+SS+Retire income,13.0,2001,44.6,49.300000000000004,53.6,56,thousands of dollars
Labor+SS+Retire income,14.0,2001,48.9,53.9,58.6,56,thousands of dollars
Labor+SS+Retire income,15.0,2001,53.4,59.1,64.5,56,thousands of dollars
Labor+SS+Retire income,16.0,2001,59.2,65.7,71.60000000000001,56,thousands of dollars
Labor+SS+Retire income,17.0,2001,65.6,73.7,81.0,56,thousands of dollars
Labor+SS+Retire income,18.0,2001,74.60000000000001,85.7,95.4,56,thousands of dollars
Labor+SS+Retire income,19.0,2001,85.7,104.60000000000001,121.7,56,thousands of dollars
Labor+SS+Retire income,20.0,2001,112.60000000000001,163.20000000000002,249.5,56,thousands of dollars
Labor+SS+Retire income,1.0,2002,2.58,5.01,7.21,57,thousands of dollars
Labor+SS+Retire income,2.0,2002,7.5200000000000005,9.58,11.700000000000001,57,thousands of dollars
Labor+SS+Retire income,3.0,2002,11.6,14.0,16.3,57,thousands of dollars
Labor+SS+Retire income,4.0,2002,15.200000000000001,17.900000000000002,20.400000000000002,57,thousands of dollars
Labor+SS+Retire income,5.0,2002,18.6,21.400000000000002,23.900000000000002,57,thousands of dollars
Labor+SS+Retire income,6.0,2002,21.7,24.8,27.5,57,thousands of dollars
Labor+SS+Retire income,7.0,2002,24.6,28.0,30.7,57,thousands of dollars
Labor+SS+Retire income,8.0,2002,27.6,31.3,34.2,57,thousands of dollars
Labor+SS+Retire income,9.0,2002,30.7,34.6,37.7,57,thousands of dollars
Labor+SS+Retire income,10.0,2002,33.6,37.800000000000004,40.9,57,thousands of dollars
Labor+SS+Retire income,11.0,2002,36.800000000000004,41.2,44.800000000000004,57,thousands of dollars
Labor+SS+Retire income,12.0,2002,40.0,45.0,48.5,57,thousands of dollars
Labor+SS+Retire income,13.0,2002,43.9,49.0,52.9,57,thousands of dollars
Labor+SS+Retire income,14.0,2002,48.2,53.800000000000004,58.0,57,thousands of dollars
Labor+SS+Retire income,15.0,2002,52.6,59.1,64.0,57,thousands of dollars
Labor+SS+Retire income,16.0,2002,58.300000000000004,65.5,71.10000000000001,57,thousands of dollars
Labor+SS+Retire income,17.0,2002,64.3,73.5,80.10000000000001,57,thousands of dollars
Labor+SS+Retire income,18.0,2002,73.2,85.5,94.5,57,thousands of dollars
Labor+SS+Retire income,19.0,2002,82.60000000000001,103.5,120.7,57,thousands of dollars
Labor+SS+Retire income,20.0,2002,109.60000000000001,160.20000000000002,238.3,57,thousands of dollars
Labor+SS+Retire income,1.0,2003,2.77,5.11,7.38,58,thousands of dollars
Labor+SS+Retire income,2.0,2003,7.42,9.55,11.6,58,thousands of dollars
Labor+SS+Retire income,3.0,2003,11.0,13.6,16.0,58,thousands of dollars
Labor+SS+Retire income,4.0,2003,14.6,17.6,20.2,58,thousands of dollars
Labor+SS+Retire income,5.0,2003,18.0,21.2,23.8,58,thousands of dollars
Labor+SS+Retire income,6.0,2003,21.0,24.5,27.3,58,thousands of dollars
Labor+SS+Retire income,7.0,2003,23.7,27.7,30.5,58,thousands of dollars
Labor+SS+Retire income,8.0,2003,26.7,30.900000000000002,34.0,58,thousands of dollars
Labor+SS+Retire income,9.0,2003,29.6,34.1,37.300000000000004,58,thousands of dollars
Labor+SS+Retire income,10.0,2003,32.4,37.2,40.5,58,thousands of dollars
Labor+SS+Retire income,11.0,2003,35.0,40.6,44.2,58,thousands of dollars
Labor+SS+Retire income,12.0,2003,38.6,44.4,48.300000000000004,58,thousands of dollars
Labor+SS+Retire income,13.0,2003,42.300000000000004,48.5,52.7,58,thousands of dollars
Labor+SS+Retire income,14.0,2003,46.300000000000004,53.0,57.6,58,thousands of dollars
Labor+SS+Retire income,15.0,2003,50.6,58.4,63.5,58,thousands of dollars
Labor+SS+Retire income,16.0,2003,56.0,64.7,70.7,58,thousands of dollars
Labor+SS+Retire income,17.0,2003,62.0,72.7,80.10000000000001,58,thousands of dollars
Labor+SS+Retire income,18.0,2003,69.3,84.5,94.3,58,thousands of dollars
Labor+SS+Retire income,19.0,2003,77.60000000000001,101.9,119.10000000000001,58,thousands of dollars
Labor+SS+Retire income,20.0,2003,96.9,154.3,229.4,58,thousands of dollars
Labor+SS+Retire income,1.0,2004,3.08,5.45,8.4,59,thousands of dollars
Labor+SS+Retire income,2.0,2004,7.41,9.8,12.1,59,thousands of dollars
Labor+SS+Retire income,3.0,2004,10.9,13.700000000000001,16.6,59,thousands of dollars
Labor+SS+Retire income,4.0,2004,14.200000000000001,17.6,20.5,59,thousands of dollars
Labor+SS+Retire income,5.0,2004,17.400000000000002,21.2,24.1,59,thousands of dollars
Labor+SS+Retire income,6.0,2004,20.2,24.400000000000002,27.7,59,thousands of dollars
Labor+SS+Retire income,7.0,2004,22.900000000000002,27.7,31.0,59,thousands of dollars
Labor+SS+Retire income,8.0,2004,25.7,30.8,34.5,59,thousands of dollars
Labor+SS+Retire income,9.0,2004,28.400000000000002,33.9,37.7,59,thousands of dollars
Labor+SS+Retire income,10.0,2004,31.2,37.0,40.9,59,thousands of dollars
Labor+SS+Retire income,11.0,2004,33.8,40.4,45.0,59,thousands of dollars
